id x y start mine linked,
1 0.544444446 4.236894598999999 True False [2,37]
2 0.816666669 4.278774941 False False [1,3]
3 1.067948721 4.306695169 False False [2,4]
4 1.409971514 4.285754998 False False [3,5]
5 1.633333338 4.139173801 False False [4,6]
6 1.800854706 3.894871806 False False [5,7]
7 1.919515675 3.657549868 False True [6,8]
8 2.059116815 3.4062678159999997 False False [7,9]
9 2.324358981 3.161965821 False False [8,10]
10 2.6594017169999997 2.9665242249999997 False False [9,11]
11 2.938603997 2.7641025719999996 False False [10,12]
12 3.21082622 2.6943020019999997 False False [11,13]
13 3.531908842 2.631481489 False False [12,14]
14 3.7831908939999996 2.44301995 False False [13,15]
15 3.9018518629999996 2.2545584109999997 False False [14,16]
16 3.9367521479999996 2.052136758 False False [15,17]
17 3.957692319 1.689173794 False False [16,18]
18 3.9018518629999996 1.361111115 False False [17,19]
19 3.8529914639999996 0.97720798 False False [18,20]
20 3.804131065 0.6770655289999999 False False [19,21]
21 3.573789184 0.40484330599999996 False False [20,22]
22 3.196866106 0.45370370499999996 False False [21,23]
23 2.868803427 0.460683762 False False [22,24]
24 2.5407407479999997 0.467663819 False False [23,25]
25 2.059116815 0.5374643889999999 False False [24,26]
26 1.479772084 0.621225073 False False [25,27]
27 1.172649576 0.746866099 False False [26,28]
28 0.844586897 0.8725071249999999 False False [27,29]
29 0.48162393299999995 1.0400284929999999 False False [28,30]
30 0.20940171 1.2703703739999999 False False [29,31]
31 0.20940171 1.528632483 False False [30,32]
32 0.230341881 1.842735048 False False [31,33]
33 0.27920227999999997 2.1498575559999997 False False [32,34]
34 0.362962964 2.5267806339999996 False False [33,35]
35 0.43276353399999995 2.9804843389999998 False False [34,36]
36 0.314102565 3.315527075 False False [35,37]
37 0.342022793 3.671509982 False False [36,1]
